userId,movieId,rating,timestamp
73,1097,4.0,1255504951
561,924,3.5,1172695223
157,260,3.5,1291598691
358,1210,5.0,957481884
130,316,2.0,1138999234
580,1196,4.0,1220561546
544,2918,5.0,1435787004
213,1200,3.0,1462634054
176,2571,4.5,1340714691
481,4886,4.5,1437002227
423,1270,3.0,1353700413
607,364,3.0,1144791031
105,4963,3.0,1086093708
165,500,3.0,1111482850
665,32,4.0,995233393
547,2997,5.0,974779039
292,780,4.5,1140051052
134,231,2.5,1361245725
665,597,5.0,992920864
220,1265,4.0,970499160
648,356,4.5,1176754950
518,1210,5.0,945362762
157,586,3.0,1292893387
427,4226,5.0,988493239
384,1291,4.5,1153501104
534,500,3.0,973377218
574,2918,4.5,1232810514
48,2762,3.5,1367729581
382,231,1.0,1371780933
213,367,1.0,1462637943
95,2959,5.0,1018815786
239,587,4.0,991860611
102,1200,5.0,956600284
220,2997,3.0,970498215
475,588,3.5,1446908542
461,1721,4.0,1091048448
472,150,3.0,939691973
232,2716,5.0,955089975
102,1097,4.0,956600083
23,2396,4.5,1148728756
358,608,5.0,957534412
150,1617,3.0,1114306474
239,733,4.0,991857646
19,1213,5.0,855191553
23,1704,3.5,1148729054
176,5349,3.0,1340715341
598,3578,4.0,1008570565
30,733,4.0,945277145
78,260,5.0,1274050755
268,34,4.5,1314894252
195,590,4.0,975763379
77,1036,3.0,1163253110
431,1265,5.0,1165546558
102,1732,5.0,958248454
130,1197,4.5,1138985732
102,1136,5.0,956591803
78,1206,2.5,1327288495
30,318,5.0,945112993
23,296,4.5,1148671517
544,7153,4.0,1442496146
468,2959,3.0,1296195619
15,1732,3.5,1054449676
431,4226,5.0,1165546824
457,5952,0.5,1471383517
575,34,5.0,1012595891
461,4306,3.0,1090907275
518,2628,5.0,945362514
77,592,3.5,1163006012
306,165,4.0,939716043
518,1580,5.0,945363689
105,2858,4.0,1085581346
292,356,5.0,1140051028
88,153,2.0,1239763939
509,780,2.0,940016974
430,589,4.5,1172908230
262,380,2.0,1433900951
605,231,3.0,980176884
157,1732,4.0,1344511098
